trajectory,time,wealth,wealth_real,liquidity,alloc_actions,alloc_obligations,alloc_cash,alloc_or,alloc_crypto,alloc_scpi,solver
190,1,183.7032642073358,180.10123941895665,110.22195852440149,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,2,191.4337478055118,184.00014206604365,114.8602486833071,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,3,199.83296340795138,188.30706459803483,119.89977804477084,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,4,199.29463202935767,184.11743423195932,119.57677921761461,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,5,217.94770278166652,197.40194934100862,108.97385139083326,0.0,0.35,0.15,0.2,0.0,0.3,DP
190,6,200.13207249467848,177.71155303288683,120.07924349680711,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,7,196.90961467388675,171.42166932129578,118.14576880433206,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,8,207.7448900962898,177.30826336113128,124.64693405777389,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,9,209.26083250869385,175.10010354254592,125.55649950521634,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,10,221.6579098087628,181.83668946549903,132.99474588525771,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,11,220.65556774999524,177.4651175114664,132.39334064999716,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,12,230.47875941576572,181.73092891585767,69.14362782472973,-8.881784197001253e-17,0.21000000000000002,0.09000000000000001,0.28,-2.2204460492503132e-17,0.42000000000000004,DP
190,13,167.99465963335814,129.86533593633925,100.7967957800149,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,14,152.6455082230885,115.68621829786512,91.58730493385312,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,15,159.73367633179214,118.68447438974002,95.84020579907529,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,16,174.79906078004737,127.33164406640549,104.87943646802843,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
190,17,180.16076575110958,128.66407412445741,108.09645945066576,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
